round,mean_loss,p95_loss,p99_loss,TP,FP,TN,FN,precision,recall,f1
20,5.651016712188721,34.895118713378906,64.27802276611328,139,4,96,184,0.972027971959998,0.43034055726221854,0.596566519325554
21,5.671164035797119,35.00532531738281,64.45719909667969,139,4,96,184,0.972027971959998,0.43034055726221854,0.596566519325554
22,5.705027103424072,35.18987274169922,64.85134887695312,139,4,96,184,0.972027971959998,0.43034055726221854,0.596566519325554
23,5.736325263977051,35.366111755371094,65.17984771728516,139,4,96,184,0.972027971959998,0.43034055726221854,0.596566519325554
24,5.7554755210876465,35.48420715332031,65.37550354003906,139,4,96,184,0.972027971959998,0.43034055726221854,0.596566519325554
25,5.7809834480285645,35.63546371459961,65.63597106933594,139,4,96,184,0.972027971959998,0.43034055726221854,0.596566519325554
26,5.800037860870361,35.7409782409668,65.83837890625,139,4,96,184,0.972027971959998,0.43034055726221854,0.596566519325554
27,5.826043605804443,35.880619049072266,66.15062713623047,139,4,96,184,0.972027971959998,0.43034055726221854,0.596566519325554
28,5.844841957092285,35.97389602661133,66.35118865966797,139,4,96,184,0.972027971959998,0.43034055726221854,0.596566519325554
29,5.871609687805176,36.10627746582031,66.67475891113281,139,4,96,184,0.972027971959998,0.43034055726221854,0.596566519325554
30,5.886002063751221,36.17588424682617,66.81065368652344,139,4,96,184,0.972027971959998,0.43034055726221854,0.596566519325554
31,5.907843112945557,36.30617904663086,67.03853607177734,140,4,96,183,0.9722222221547068,0.43343653249432085,0.5995717301842827
32,5.902441501617432,36.22802734375,66.92068481445312,140,4,96,183,0.9722222221547068,0.43343653249432085,0.5995717301842827
33,5.921555995941162,36.339508056640625,67.08999633789062,140,4,96,183,0.9722222221547068,0.43343653249432085,0.5995717301842827
34,5.91682243347168,36.25799560546875,66.99057006835938,140,4,96,183,0.9722222221547068,0.43343653249432085,0.5995717301842827
35,5.9357805252075195,36.345584869384766,67.21712493896484,140,4,96,183,0.9722222221547068,0.43343653249432085,0.5995717301842827
36,5.950494289398193,36.4237174987793,67.38513946533203,140,4,96,183,0.9722222221547068,0.43343653249432085,0.5995717301842827
37,5.967065811157227,36.52445602416992,67.53003692626953,140,4,96,183,0.9722222221547068,0.43343653249432085,0.5995717301842827
38,5.977015495300293,36.562984466552734,67.64794921875,140,4,96,183,0.9722222221547068,0.43343653249432085,0.5995717301842827
39,5.991750240325928,36.64450454711914,67.78834533691406,140,4,96,183,0.9722222221547068,0.43343653249432085,0.5995717301842827
40,6.0020222663879395,36.68761444091797,67.91205596923828,140,4,96,183,0.9722222221547068,0.43343653249432085,0.5995717301842827
41,6.015712738037109,36.764163970947266,68.03515625,140,4,96,183,0.9722222221547068,0.43343653249432085,0.5995717301842827
42,6.026218891143799,36.81911849975586,68.15213775634766,140,4,96,183,0.9722222221547068,0.43343653249432085,0.5995717301842827
43,6.0382843017578125,36.899024963378906,68.2606430053711,140,4,96,183,0.9722222221547068,0.43343653249432085,0.5995717301842827
44,6.050732612609863,36.95597839355469,68.41990661621094,140,4,96,183,0.9722222221547068,0.43343653249432085,0.5995717301842827
45,6.065229892730713,37.04273986816406,68.57197570800781,140,4,96,183,0.9722222221547068,0.43343653249432085,0.5995717301842827
46,6.074577808380127,37.08354949951172,68.67174530029297,140,4,96,183,0.9722222221547068,0.43343653249432085,0.5995717301842827
47,6.085207462310791,37.15290069580078,68.74998474121094,140,4,96,183,0.9722222221547068,0.43343653249432085,0.5995717301842827
48,6.096408367156982,37.21051788330078,68.88311767578125,140,4,96,183,0.9722222221547068,0.43343653249432085,0.5995717301842827
